[INFO] 2016-12-11 16:16:18,457  Start finding sub-domains of ['bkav.com']
[INFO] 2016-12-11 16:16:19,242  Start finding open ports
[INFO] 2016-12-11 16:17:54,944  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:17:55,908  Start finding open ports
[INFO] 2016-12-11 16:18:43,503  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:19:48,628  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:19:49,621  Start finding open ports
[INFO] 2016-12-11 16:20:03,028  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:20:03,924  Start finding open ports
[INFO] 2016-12-11 16:20:32,710  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:20:33,648  Start finding open ports
[INFO] 2016-12-11 16:21:01,927  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:21:02,823  Start finding open ports
[INFO] 2016-12-11 16:21:33,138  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:21:45,092  Start finding open ports
[INFO] 2016-12-11 16:42:41,403  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:42:42,289  Start finding open ports
[INFO] 2016-12-11 16:43:45,969  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:43:47,250  Requesting to https://www.bing.com/search?q=domain:garena.com&first=1
[INFO] 2016-12-11 16:43:47,253  Requesting to https://www.bing.com/search?q=domain:garena.com&first=8
[INFO] 2016-12-11 16:43:47,255  Requesting to https://www.bing.com/search?q=domain:garena.com&first=18
[INFO] 2016-12-11 16:43:47,257  Requesting to https://www.bing.com/search?q=domain:garena.com&first=28
[INFO] 2016-12-11 16:43:47,263  Requesting to https://www.bing.com/search?q=domain:garena.com&first=38
[INFO] 2016-12-11 16:43:47,269  Requesting to https://www.bing.com/search?q=domain:garena.com&first=48
[INFO] 2016-12-11 16:43:47,273  Requesting to https://www.bing.com/search?q=domain:garena.com&first=58
[INFO] 2016-12-11 16:43:47,279  Requesting to https://www.bing.com/search?q=domain:garena.com&first=68
[INFO] 2016-12-11 16:43:47,283  Requesting to https://www.bing.com/search?q=domain:garena.com&first=78
[INFO] 2016-12-11 16:43:47,289  Requesting to https://www.bing.com/search?q=domain:garena.com&first=88
[INFO] 2016-12-11 16:43:47,292  Requesting to https://www.bing.com/search?q=domain:garena.com&first=98
[INFO] 2016-12-11 16:43:47,296  Requesting to https://www.bing.com/search?q=domain:garena.com&first=108
[INFO] 2016-12-11 16:43:47,299  Requesting to https://www.bing.com/search?q=domain:garena.com&first=118
[INFO] 2016-12-11 16:43:47,303  Requesting to https://www.bing.com/search?q=domain:garena.com&first=128
[INFO] 2016-12-11 16:43:47,309  Requesting to https://www.bing.com/search?q=domain:garena.com&first=138
[INFO] 2016-12-11 16:43:55,908  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=0
[INFO] 2016-12-11 16:43:55,910  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=10
[INFO] 2016-12-11 16:43:55,911  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=20
[INFO] 2016-12-11 16:43:55,914  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=30
[INFO] 2016-12-11 16:43:55,918  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=40
[INFO] 2016-12-11 16:43:55,923  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=50
[INFO] 2016-12-11 16:43:55,927  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=60
